participant_id,source_file,video_index,seqname,seq_number,paddle_time_s,Q1,Q2,Q3,Q4,video_name,TTC_s,scene,frequency,modulation_depth,eye_participant,playback_start,playback_end,clock_offset_s,total_duration_ms,valid_samples,valid_ratio,dwell_time_cms_ms,dwell_ratio_cms,dwell_time_road_ms,dwell_ratio_road,fixation_count_total,fixation_count_cms,fixation_count_road,fixation_duration_mean_ms,fixation_duration_cms_mean_ms,fixation_duration_road_mean_ms,transition_count,first_fixation_cms_time_ms,eyes_not_found_ratio,source_file_eye,flag_skipped_trial,flag_no_response,flag_missing_rating,flag_low_eye_quality,flag_extreme_ttc,is_P09_nolicense,is_P15_colorblind
P01,P01_17_04_2026.dat,0,Split_A_112_L1_F1_12_5_.bgr,2,17.45993,6.030488,2.207317,1.658537,7,Split_A_112_L1_F1_12_5_,1.54007,A,12.5,40,P01,15:17:58,15:18:21,0,22241.6,2077,77.79,1916.7,11.08,15383.4,88.92,32,5,27,488.34,260.2,530.59,8,4566.7,22.21,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,1,Split_C_112_L1_F3_8_33_.bgr,27,17.733515,2.957317,3.195122,4,7,Split_C_112_L1_F3_8_33_,1.2664849999999994,C,8.33,80,P01,15:18:39,15:19:01,0,22549.9,2612,96.49,1733.3,7.96,20033.2,92.04,35,2,33,579.34,717,571,4,8825,3.51,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,2,Split_C_112_L1_F1_12_5_.bgr,22,17.654093,6.04878,1,1.804878,7,Split_C_112_L1_F1_12_5_,1.3459070000000004,C,12.5,40,P01,15:19:29,15:19:51,0,22558.3,2658,98.15,1166.7,5.27,20974.9,94.73,40,2,38,516.98,508.5,517.42,4,10091.6,1.85,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,3,Split_C_112_L1_F2_25_.bgr,26,16.924467,3.1951219999999996,4.914634,3.871951,6.04878,Split_C_112_L1_F2_25_,2.075533,C,25,60,P01,15:20:15,15:20:37,0,22083.3,2583,97.43,1866.7,8.68,19650,91.32,41,5,36,487.8,416.8,497.67,6,900,2.57,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,4,Split_A_112_L1_F2_8_33_.bgr,4,16.920742,5.993902,2.957317,1.896341,7,Split_A_112_L1_F2_8_33_,2.0792579999999994,A,8.33,60,P01,15:20:59,15:21:21,0,22083.3,2620,98.83,975,4.47,20858.3,95.53,31,1,30,665.74,708,664.33,2,16550,1.17,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,5,Split_C_112_L1_F3_25_.bgr,29,16.848497,2.792683,4.914634,4.95122,7,Split_C_112_L1_F3_25_,2.1515030000000017,C,25,80,P01,15:21:44,15:22:06,0,22558.3,2644,97.64,2225,10.1,19800,89.9,40,3,37,514.58,769.33,493.92,4,10666.7,2.36,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,6,Split_C_112_L1_F2_8_33_.bgr,24,16.342157,5.792683,2.097561,1,7,Split_C_112_L1_F2_8_33_,2.6578429999999997,C,8.33,60,P01,15:22:28,15:22:50,0,21925,2457,93.35,2125,10.38,18341.6,89.62,47,6,41,401.06,316.67,413.41,4,13575,6.65,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,7,Split_B_112_L1_F2_12_5_.bgr,15,17.408754,5.042683,1.20122,1,6.067073,Split_B_112_L1_F2_12_5_,1.5912460000000015,B,12.5,60,P01,15:23:30,15:23:52,0,22083.3,2598,98,1608.3,7.43,20033.3,92.57,36,4,32,559.72,416.75,577.59,4,1100,2,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,8,Split_B_112_L1_F1_8_33_.bgr,11,18.456669,3.030488,3.981707,4.018292,5.042683,Split_B_112_L1_F1_8_33_,0.5433309999999985,B,8.33,40,P01,15:24:20,15:24:43,0,22641.6,2634,96.91,1200,5.47,20750,94.53,43,3,40,470.37,280.33,484.62,2,18641.6,3.09,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,9,Split_A_112_L1_F3_25_.bgr,9,17.49563,2.170732,3.908537,3.981707,7,Split_A_112_L1_F3_25_,1.5043700000000015,A,25,80,P01,15:25:01,15:25:23,0,22091.7,2581,97.32,1541.7,7.17,19958.3,92.83,27,3,24,753.33,505.67,784.29,6,9291.7,2.68,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,10,Split_C_112_L1_F3_12_5_.bgr,28,17.575863,2.4268289999999997,4.95122,5.115854,7,Split_C_112_L1_F3_12_5_,1.4241370000000018,C,12.5,80,P01,15:25:42,15:26:04,0,22324.9,2626,97.99,625,2.86,21258.3,97.14,31,1,30,671.29,492,677.27,2,17350,2.01,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P01,P01_17_04_2026.dat,11,Split_B_112_L1_F3_12_5_.bgr,18,17.24316,4,3.067073,3.012195,7,Split_B_112_L1_F3_12_5_,1.7568400000000004,B,12.5,80,P01,15:26:35,15:26:57,0,22325,2660,99.25,1616.7,7.3,20541.6,92.7,36,4,32,583.78,416.5,604.69,6,3341.6,0.75,eyetracking_results_P01.xlsx,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
