variable,condition,frequency,modulation_depth,n,mean,sd,median,IQR,missing_n
dwell_ratio_cms,0 Hz (stable),0,NA,75,38.689,13.518,37.27,13.48,0
dwell_ratio_cms,8.33 Hz / 40%,8.33,40,75,37.663,16.181,33.7,19.78,0
dwell_ratio_cms,8.33 Hz / 60%,8.33,60,75,36.862,17.115,34.43,19.33,0
dwell_ratio_cms,8.33 Hz / 80%,8.33,80,75,38.504,16.476,34.88,19.855,0
dwell_ratio_cms,12.5 Hz / 40%,12.5,40,75,37.368,16.985,36.77,24.735,0
dwell_ratio_cms,12.5 Hz / 60%,12.5,60,75,35.363,16.65,31.86,15.67,0
dwell_ratio_cms,12.5 Hz / 80%,12.5,80,75,39.416,17.644,36.4,19.88,0
dwell_ratio_cms,25 Hz / 40%,25,40,75,37.024,15.716,34.84,19.095,0
dwell_ratio_cms,25 Hz / 60%,25,60,75,37.559,17.755,35.35,20.05,0
dwell_ratio_cms,25 Hz / 80%,25,80,75,38.651,18.949,35.97,20.38,0
dwell_time_cms_ms,0 Hz (stable),0,NA,75,7854.489,2772.003,7416.8,3225.05,0
dwell_time_cms_ms,8.33 Hz / 40%,8.33,40,75,7559.153,3104.206,6925.1,3071,0
dwell_time_cms_ms,8.33 Hz / 60%,8.33,60,75,7359.653,3353.545,7183.5,4179.2,0
dwell_time_cms_ms,8.33 Hz / 80%,8.33,80,75,7759.713,3208.507,7200.1,3995.85,0
dwell_time_cms_ms,12.5 Hz / 40%,12.5,40,75,7623.161,3258.409,7533.5,4491.75,0
dwell_time_cms_ms,12.5 Hz / 60%,12.5,60,75,7070.037,3455.842,6291.8,3479.25,0
dwell_time_cms_ms,12.5 Hz / 80%,12.5,80,75,7866.611,3273.628,7691.8,4041.75,0
dwell_time_cms_ms,25 Hz / 40%,25,40,75,7583.043,3190.546,7191.8,3916.75,0
dwell_time_cms_ms,25 Hz / 60%,25,60,75,7449.371,3274.125,7325.1,3195.9,0
