term,estimate,std.error,z.value,p.value,DV,step
frequency8.33,-53.7992,2372.6995,-0.0227,0.9819,Q1,step1_4freq
frequency12.5,-64.9217,2372.7147,-0.0274,0.9782,Q1,step1_4freq
frequency25,-68.5446,2372.7554,-0.0289,0.977,Q1,step1_4freq
frequency12.5,-16.3419,9e-4,-17437.2183,0,Q1,step2_3x3
frequency25,-25.869,9e-4,-27567.842,0,Q1,step2_3x3
modulation_depth60,-27.0396,0.001,-27960.8236,0,Q1,step2_3x3
modulation_depth80,-36.2288,9e-4,-38574.2725,0,Q1,step2_3x3
frequency12.5:modulation_depth60,6.5702,0.001,6794.0822,0,Q1,step2_3x3
frequency25:modulation_depth60,15.5537,18.5557,0.8382,0.4019,Q1,step2_3x3
frequency8.33,1.3899,7.4353,0.1869,0.8517,Q2,step1_4freq
frequency12.5,25.256,11.0606,2.2834,0.0224,Q2,step1_4freq
frequency25,4.0798,9.6063,0.4247,0.6711,Q2,step1_4freq
frequency12.5,-23.153,NA,NA,NA,Q2,step2_3x3
frequency25,-22.1107,NA,NA,NA,Q2,step2_3x3
modulation_depth60,23.5044,NA,NA,NA,Q2,step2_3x3
modulation_depth80,19.4776,NA,NA,NA,Q2,step2_3x3
frequency12.5:modulation_depth60,62.7996,NA,NA,NA,Q2,step2_3x3
frequency12.5:modulation_depth80,65.7802,NA,NA,NA,Q2,step2_3x3
frequency25:modulation_depth80,65.7802,NA,NA,NA,Q2,step2_3x3
frequency8.33,20.9169,NA,NA,NA,Q3,step1_4freq
frequency12.5,22.7148,NA,NA,NA,Q3,step1_4freq
frequency25,22.3126,NA,NA,NA,Q3,step1_4freq
frequency12.5,0.9022,NA,NA,NA,Q3,step2_3x3
frequency25,-20.8125,NA,NA,NA,Q3,step2_3x3
modulation_depth60,0.1957,NA,NA,NA,Q3,step2_3x3
modulation_depth80,-0.3584,NA,NA,NA,Q3,step2_3x3
frequency12.5:modulation_depth60,-0.9405,NA,NA,NA,Q3,step2_3x3
frequency25:modulation_depth60,23.7272,NA,NA,NA,Q3,step2_3x3
frequency12.5:modulation_depth80,22.9559,NA,NA,NA,Q3,step2_3x3
frequency25:modulation_depth80,25.7589,NA,NA,NA,Q3,step2_3x3
frequency8.33,-21.2572,NA,NA,NA,Q4,step1_4freq
frequency12.5,-20.3224,NA,NA,NA,Q4,step1_4freq
frequency25,-21.9502,NA,NA,NA,Q4,step1_4freq
frequency12.5,0.9892,NA,NA,NA,Q4,step2_3x3
frequency25,-14.6774,NA,NA,NA,Q4,step2_3x3
modulation_depth60,2.18,NA,NA,NA,Q4,step2_3x3
modulation_depth80,-35.4053,NA,NA,NA,Q4,step2_3x3
frequency12.5:modulation_depth60,-38.3985,NA,NA,NA,Q4,step2_3x3
frequency25:modulation_depth60,-22.1912,NA,NA,NA,Q4,step2_3x3
frequency12.5:modulation_depth80,39.6406,NA,NA,NA,Q4,step2_3x3
frequency25:modulation_depth80,11.9086,NA,NA,NA,Q4,step2_3x3
