frequency,emmean,SE,df,lower.CL,upper.CL,DV
X0,5.539,0.23,24,5.065,6.013,Q1
X8.33,3.599,0.233,24,3.119,4.079,Q1
X12.5,3.271,0.237,24,2.782,3.759,Q1
X25,3.229,0.232,24,2.75,3.708,Q1
X0,3.029,0.224,24,2.566,3.491,Q2
X8.33,4.001,0.21,24,3.568,4.434,Q2
X12.5,4.29,0.24,24,3.795,4.785,Q2
X25,4.274,0.232,24,3.795,4.754,Q2
X0,3.013,0.235,24,2.528,3.498,Q3
X8.33,3.911,0.225,24,3.448,4.375,Q3
X12.5,4.259,0.219,24,3.807,4.71,Q3
X25,4.159,0.216,24,3.713,4.604,Q3
X0,5.213,0.261,24,4.674,5.751,Q4
X8.33,4.706,0.238,24,4.215,5.198,Q4
X12.5,4.675,0.231,24,4.199,5.151,Q4
X25,4.62,0.265,24,4.074,5.166,Q4
X0,3.021,0.224,24,2.559,3.482,cognitive_load
X8.33,3.956,0.212,24,3.518,4.394,cognitive_load
X12.5,4.274,0.228,24,3.804,4.745,cognitive_load
X25,4.217,0.223,24,3.756,4.677,cognitive_load
