DV,Effect,F,num_df,den_df_GG,MSE,pes,pes_CI_low,pes_CI_high,p_GG
Q1,frequency,5.692,1.66,39.82,0.6307,0.1917,0.0139,0.3901,0.0098
Q1,modulation_depth,78.378,1.36,32.75,0.9279,0.7656,0.6072,0.8471,0
Q1,frequency:modulation_depth,0.407,3.32,79.57,0.4099,0.0167,0,0.0674,0.768
Q2,frequency,5.401,1.87,44.98,0.3806,0.1837,0.0145,0.3688,0.009
Q2,modulation_depth,42.197,1.38,33.06,0.6265,0.6374,0.4184,0.7608,0
Q2,frequency:modulation_depth,0.423,2.96,71.07,0.3212,0.0173,0,0.0787,0.7347
Q3,frequency,4.566,1.58,37.97,0.6465,0.1599,8e-4,0.362,0.0236
Q3,modulation_depth,44.684,1.7,40.83,0.5286,0.6506,0.4617,0.7602,0
Q3,frequency:modulation_depth,1.676,3.35,80.44,0.2765,0.0653,0,0.1641,0.1733
Q4,frequency,0.28,1.91,45.86,0.5028,0.0115,0,0.1038,0.747
Q4,modulation_depth,11.083,1.67,40.13,0.4367,0.3159,0.0896,0.5047,3e-4
Q4,frequency:modulation_depth,1.178,3.66,87.84,0.3099,0.0468,0,0.1262,0.3254
cognitive_load,frequency,5.348,1.78,42.81,0.4394,0.1822,0.0122,0.3725,0.0106
cognitive_load,modulation_depth,47.216,1.45,34.83,0.5545,0.663,0.4607,0.7759,0
cognitive_load,frequency:modulation_depth,0.928,3.11,74.56,0.2681,0.0372,0,0.1217,0.4342
