contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,DV,factor
X8.33 - X12.5,0.3225,0.1134,24,0.0305,0.6145,2.8429,0.027,Q1,frequency
X8.33 - X25,0.364,0.141,24,0.001,0.7269,2.581,0.0328,Q1,frequency
X12.5 - X25,0.0415,0.0954,24,-0.204,0.2869,0.4348,0.6676,Q1,frequency
X40 - X60,0.7885,0.0981,24,0.5361,1.041,8.0399,0,Q1,modulation_depth
X40 - X80,1.6265,0.1681,24,1.1939,2.0591,9.6759,0,Q1,modulation_depth
X60 - X80,0.838,0.113,24,0.5471,1.1288,7.4156,0,Q1,modulation_depth
X8.33 - X12.5,-0.2851,0.1085,24,-0.5644,-0.0059,-2.6276,0.0295,Q2,frequency
X8.33 - X25,-0.2693,0.096,24,-0.5165,-0.0222,-2.8051,0.0294,Q2,frequency
X12.5 - X25,0.0158,0.0868,24,-0.2077,0.2392,0.1817,0.8574,Q2,frequency
X40 - X60,-0.4346,0.0702,24,-0.6154,-0.2539,-6.1891,0,Q2,modulation_depth
X40 - X80,-0.9833,0.1354,24,-1.3316,-0.6349,-7.2637,0,Q2,modulation_depth
X60 - X80,-0.5486,0.1061,24,-0.8218,-0.2755,-5.1689,0,Q2,modulation_depth
X8.33 - X12.5,-0.3431,0.1174,24,-0.6452,-0.041,-2.9227,0.0224,Q3,frequency
X8.33 - X25,-0.2432,0.1401,24,-0.6038,0.1175,-1.7354,0.191,Q3,frequency
X12.5 - X25,0.0999,0.0866,24,-0.1229,0.3228,1.1539,0.2599,Q3,frequency
X40 - X60,-0.6085,0.0919,24,-0.845,-0.3721,-6.6237,0,Q3,modulation_depth
X40 - X80,-1.0294,0.1298,24,-1.3635,-0.6954,-7.9317,0,Q3,modulation_depth
X60 - X80,-0.4209,0.1034,24,-0.6869,-0.1549,-4.0722,4e-4,Q3,modulation_depth
X8.33 - X12.5,0.0289,0.1238,24,-0.2897,0.3474,0.2332,1,Q4,frequency
X8.33 - X25,0.0834,0.1121,24,-0.205,0.3719,0.7443,1,Q4,frequency
X12.5 - X25,0.0546,0.1027,24,-0.2098,0.3189,0.5312,1,Q4,frequency
X40 - X60,0.2615,0.0786,24,0.0593,0.4636,3.3282,0.0056,Q4,modulation_depth
X40 - X80,0.4633,0.1167,24,0.1629,0.7636,3.9694,0.0017,Q4,modulation_depth
X60 - X80,0.2018,0.097,24,-0.0479,0.4515,2.0799,0.0484,Q4,modulation_depth
X8.33 - X12.5,-0.3141,0.10780000000000001,24,-0.5917,-0.0366,-2.9127,0.0229,cognitive_load,frequency
X8.33 - X25,-0.2563,0.1133,24,-0.5479,0.0354,-2.2612,0.0662,cognitive_load,frequency
X12.5 - X25,0.0578,0.0829,24,-0.1556,0.2713,0.6974,0.4922,cognitive_load,frequency
X40 - X60,-0.5216,0.0733,24,-0.7102,-0.3329,-7.1157,0,cognitive_load,modulation_depth
X40 - X80,-1.0063,0.1294,24,-1.3394,-0.6733,-7.777,0,cognitive_load,modulation_depth
X60 - X80,-0.4848,0.1004,24,-0.743,-0.2265,-4.8306,1e-4,cognitive_load,modulation_depth
