effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,DV,model,overdispersion_ratio
fixed,(Intercept),2.3881,0.0731,32.6632,0,2.2448,2.5314,transition_count,Poisson,0.783
fixed,frequency12.5,-0.0141,0.0484,-0.2903,0.7716,-0.1089,0.0808,transition_count,Poisson,0.783
fixed,frequency25,-0.0023,0.0483,-0.0483,0.9615,-0.0969,0.0922,transition_count,Poisson,0.783
fixed,modulation_depth60,-0.0636,0.049,-1.2978,0.1943,-0.1597,0.0325,transition_count,Poisson,0.783
fixed,modulation_depth80,-0.0513,0.0489,-1.0499,0.2938,-0.147,0.0445,transition_count,Poisson,0.783
fixed,frequency12.5:modulation_depth60,0.0707,0.0689,1.025,0.3054,-0.0645,0.2058,transition_count,Poisson,0.783
fixed,frequency25:modulation_depth60,0.0207,0.0692,0.2999,0.7642,-0.1148,0.1563,transition_count,Poisson,0.783
fixed,frequency12.5:modulation_depth80,0.0262,0.0691,0.3794,0.7044,-0.1092,0.1617,transition_count,Poisson,0.783
fixed,frequency25:modulation_depth80,0.0145,0.069,0.21,0.8336,-0.1208,0.1497,transition_count,Poisson,0.783
fixed,(Intercept),2.7966,0.0795,35.1827,0,2.6408,2.9524,fixation_count_cms,Poisson,1.276
fixed,frequency12.5,-0.0247,0.0393,-0.628,0.53,-0.1016,0.0523,fixation_count_cms,Poisson,1.276
fixed,frequency25,0.0278,0.0387,0.7167,0.4736,-0.0482,0.1037,fixation_count_cms,Poisson,1.276
fixed,modulation_depth60,-0.0547,0.0396,-1.3839,0.1664,-0.1323,0.0228,fixation_count_cms,Poisson,1.276
fixed,modulation_depth80,0.0278,0.0387,0.7167,0.4736,-0.0482,0.1037,fixation_count_cms,Poisson,1.276
fixed,frequency12.5:modulation_depth60,0.043,0.056,0.7676,0.4427,-0.0668,0.1527,fixation_count_cms,Poisson,1.276
fixed,frequency25:modulation_depth60,0.0015,0.0555,0.0277,0.9779,-0.1073,0.1104,fixation_count_cms,Poisson,1.276
fixed,frequency12.5:modulation_depth80,0.0142,0.055,0.2587,0.7959,-0.0936,0.1221,fixation_count_cms,Poisson,1.276
fixed,frequency25:modulation_depth80,-0.0841,0.055,-1.5292,0.1262,-0.1919,0.0237,fixation_count_cms,Poisson,1.276
fixed,(Intercept),3.3371,0.0689,48.4107,0,3.202,3.4722,fixation_count_road,NB,1.899
fixed,frequency12.5,0.0297,0.0406,0.732,0.4642,-0.0499,0.1093,fixation_count_road,NB,1.899
fixed,frequency25,0.0087,0.0407,0.2145,0.8301,-0.0711,0.0885,fixation_count_road,NB,1.899
fixed,modulation_depth60,-0.0484,0.041,-1.1801,0.238,-0.1289,0.032,fixation_count_road,NB,1.899
fixed,modulation_depth80,-0.0527,0.0411,-1.2827,0.1996,-0.1332,0.0278,fixation_count_road,NB,1.899
fixed,frequency12.5:modulation_depth60,0.0333,0.0577,0.5769,0.564,-0.0798,0.1463,fixation_count_road,NB,1.899
fixed,frequency25:modulation_depth60,0.0516,0.0578,0.8938,0.3714,-0.0616,0.1649,fixation_count_road,NB,1.899
fixed,frequency12.5:modulation_depth80,-0.0197,0.0579,-0.3399,0.7339,-0.1332,0.0938,fixation_count_road,NB,1.899
fixed,frequency25:modulation_depth80,0.0071,0.058,0.1227,0.9023,-0.1065,0.1208,fixation_count_road,NB,1.899
