frequency,emmean,SE,df,lower.CL,upper.CL,DV
X0,38.689,2.269,24,34.005,43.372,dwell_ratio_cms
X8.33,37.676,2.879,24,31.735,43.618,dwell_ratio_cms
X12.5,37.382,2.887,24,31.424,43.341,dwell_ratio_cms
X25,37.745,3.011,24,31.53,43.96,dwell_ratio_cms
X0,7854.489,425.175,24,6976.971,8732.008,dwell_time_cms_ms
X8.33,7559.507,559.173,24,6405.431,8713.582,dwell_time_cms_ms
X12.5,7519.936,536.91,24,6411.81,8628.063,dwell_time_cms_ms
X25,7625.451,572.347,24,6444.185,8806.716,dwell_time_cms_ms
X0,527.104,61.727,24,399.706,654.501,fixation_duration_cms_mean_ms
X8.33,476.424,34.309,24,405.614,547.234,fixation_duration_cms_mean_ms
X12.5,474.412,31.385,24,409.637,539.188,fixation_duration_cms_mean_ms
X25,484.716,36.105,24,410.198,559.234,fixation_duration_cms_mean_ms
X0,391.693,26.782,24,336.416,446.969,fixation_duration_road_mean_ms
X8.33,387.046,20.793,24,344.131,429.961,fixation_duration_road_mean_ms
X12.5,378.743,20.639,24,336.147,421.34,fixation_duration_road_mean_ms
X25,386.408,26.83,24,331.034,441.783,fixation_duration_road_mean_ms
X0,11.227,0.767,24,9.644,12.809,transition_count
X8.33,11.04,0.69,24,9.617,12.463,transition_count
X12.5,11.24,0.738,24,9.717,12.763,transition_count
X25,11.142,0.823,24,9.443,12.841,transition_count
X0,17.893,1.206,24,15.405,20.382,fixation_count_cms
X8.33,17.373,1.367,24,14.553,20.194,fixation_count_cms
X12.5,17.271,1.345,24,14.495,20.047,fixation_count_cms
X25,17.373,1.271,24,14.751,19.996,fixation_count_cms
X0,27.733,1.529,24,24.577,30.889,fixation_count_road
X8.33,28.391,1.533,24,25.227,31.556,fixation_count_road
X12.5,29.382,1.601,24,26.079,32.686,fixation_count_road
X25,29.204,1.559,24,25.986,32.423,fixation_count_road
