DV,Effect,F,num_df,den_df_GG,MSE,pes,pes_CI_low,pes_CI_high,p_GG
dwell_ratio_cms,frequency,0.101,1.92,46.15,28.7464,0.0042,0,0.0604,0.8977
dwell_ratio_cms,modulation_depth,4.102,1.83,43.93,26.4955,0.146,0,0.3302,0.0263
dwell_ratio_cms,frequency:modulation_depth,0.782,2.8,67.31,33.9662,0.0316,0,0.1191,0.5004
dwell_time_cms_ms,frequency,0.157,1.86,44.68,1458814.7416,0.0065,0,0.0822,0.8406
dwell_time_cms_ms,modulation_depth,4.058,1.91,45.8,1368007.2728,0.1446,0,0.3241,0.0254
dwell_time_cms_ms,frequency:modulation_depth,0.379,2.8,67.13,1650032.7589,0.0156,0,0.0783,0.7544
fixation_duration_cms_mean_ms,frequency,0.194,1.54,36.97,14692.971,0.008,0,0.1162,0.7671
fixation_duration_cms_mean_ms,modulation_depth,0.114,1.6,38.46,8196.0835,0.0047,0,0.0897,0.8489
fixation_duration_cms_mean_ms,frequency:modulation_depth,1.422,3.07,73.64,9104.2289,0.0559,0,0.1566,0.2428
fixation_duration_road_mean_ms,frequency,0.141,1.61,38.61,14149.0178,0.0059,0,0.0975,0.8236
fixation_duration_road_mean_ms,modulation_depth,1.094,1.43,34.36,9915.3008,0.0436,0,0.2201,0.3272
fixation_duration_road_mean_ms,frequency:modulation_depth,0.708,2.85,68.35,12859.7383,0.0287,0,0.1113,0.5435
transition_count,frequency,0.299,1.88,45.17,2.6618,0.0123,0,0.1087,0.7295
transition_count,modulation_depth,1.023,1.86,44.76,4.1562,0.0409,0,0.181,0.3632
transition_count,frequency:modulation_depth,0.514,3.1,74.34,2.6913,0.021,0,0.0852,0.6795
fixation_count_cms,frequency,0.026,1.85,44.37,10.6865,0.0011,0,0.0124,0.9671
fixation_count_cms,modulation_depth,1.696,1.72,41.36,9.1702,0.066,0,0.2332,0.1989
fixation_count_cms,frequency:modulation_depth,1.524,3.56,85.35,4.9655,0.0597,0,0.1504,0.2076
fixation_count_road,frequency,1.475,1.66,39.82,17.1126,0.0579,0,0.2252,0.2407
fixation_count_road,modulation_depth,3.346,1.93,46.34,14.9609,0.1223,0,0.2965,0.0455
fixation_count_road,frequency:modulation_depth,0.576,3.08,74.02,16.298,0.0234,0,0.0919,0.6372
