participant_id,ttc_mean,ttc_sd,lo_25,hi_25,n_removed
P01,1.563,0.506,0.298,2.827,1
P02,3.692,0.954,1.306,6.078,0
P03,3.228,1.117,0.436,6.02,0
P04,3.807,1.62,-0.242,7.856,1
P05,7.659,1.522,3.854,11.465,1
P06,6.077,1.866,1.411,10.743,0
P07,1.848,0.902,-0.407,4.104,1
P08,4.052,1.146,1.188,6.916,0
P09,3.397,1.22,0.346,6.448,2
P10,3.566,0.823,1.51,5.623,1
P11,4.945,1.194,1.961,7.93,0
P12,5.507,0.959,3.109,7.905,0
P13,5.806,1.2,2.805,8.807,0
P14,7.178,1.648,3.058,11.299,0
P15,10.149,1.511,6.371,13.927,0
P16,3.809,1.514,0.024,7.594,0
P17,4.22,0.912,1.941,6.5,0
P18,1.196,0.97,-1.229,3.621,2
P19,2.241,0.884,0.03,4.451,1
P20,2.008,0.758,0.113,3.904,0
P21,6.583,1.429,3.01,10.156,1
P22,3.913,1.044,1.304,6.523,0
P23,4.815,1.231,1.738,7.892,0
P24,4.141,1.055,1.505,6.778,0
P25,5.321,0.902,3.066,7.575,1
