variable,condition,frequency,modulation_depth,n,mean,sd,median,IQR,missing_n
TTC_s,0 Hz (stable),0,NA,75,4.515,2.159,4.329,3.034,0
TTC_s,8.33 Hz / 40%,8.33,40,75,4.257,2.359,4.002,3.564,0
TTC_s,8.33 Hz / 60%,8.33,60,75,4.744,3.382,4.164,2.815,0
TTC_s,8.33 Hz / 80%,8.33,80,75,4.322,2.328,4.081,2.818,0
TTC_s,12.5 Hz / 40%,12.5,40,75,4.052,2.308,3.524,3.328,0
TTC_s,12.5 Hz / 60%,12.5,60,75,4.113,2.356,3.844,2.773,0
TTC_s,12.5 Hz / 80%,12.5,80,75,4.524,2.547,4.165,2.806,0
TTC_s,25 Hz / 40%,25,40,75,4.608,2.248,4.318,2.904,0
TTC_s,25 Hz / 60%,25,60,75,4.68,2.456,4.245,2.565,0
TTC_s,25 Hz / 80%,25,80,75,4.898,2.497,4.642,2.966,0
