frequency,emmean,SE,df,lower.CL,upper.CL,DV
X0,2.461,0.23,24,1.987,2.935,Q1
X8.33,4.391,0.231,24,3.914,4.868,Q1
X12.5,4.729,0.237,24,4.241,5.218,Q1
X25,4.771,0.232,24,4.292,5.25,Q1
X0,3.029,0.224,24,2.566,3.491,Q2
X8.33,4.001,0.209,24,3.57,4.432,Q2
X12.5,4.29,0.24,24,3.795,4.785,Q2
X25,4.274,0.232,24,3.795,4.754,Q2
X0,3.013,0.235,24,2.528,3.498,Q3
X8.33,3.909,0.224,24,3.447,4.372,Q3
X12.5,4.259,0.219,24,3.807,4.71,Q3
X25,4.159,0.216,24,3.713,4.604,Q3
X0,5.213,0.261,24,4.674,5.751,Q4
X8.33,4.687,0.237,24,4.199,5.176,Q4
X12.5,4.675,0.231,24,4.199,5.151,Q4
X25,4.62,0.265,24,4.074,5.166,Q4
X0,3.021,0.224,24,2.559,3.482,cognitive_load
X8.33,3.955,0.212,24,3.519,4.392,cognitive_load
X12.5,4.274,0.228,24,3.804,4.745,cognitive_load
X25,4.217,0.223,24,3.756,4.677,cognitive_load
