DV,Effect,F,num_df,den_df_GG,MSE,pes,pes_CI_low,pes_CI_high,p_GG
Q1,frequency,6.053,1.66,39.85,0.6484,0.2014,0.0182,0.3998,0.0077
Q1,modulation_depth,79.203,1.34,32.24,0.9332,0.7674,0.6085,0.8488,0
Q1,frequency:modulation_depth,0.333,3.31,79.49,0.4077,0.0137,0,0.0578,0.8203
Q2,frequency,5.409,1.86,44.53,0.3947,0.1839,0.0142,0.3701,0.0092
Q2,modulation_depth,42.531,1.35,32.52,0.6323,0.6393,0.4188,0.7628,0
Q2,frequency:modulation_depth,0.415,2.98,71.54,0.3156,0.017,0,0.0772,0.7416
Q3,frequency,4.687,1.58,37.9,0.6564,0.1634,0.0019,0.366,0.0217
Q3,modulation_depth,44.94,1.69,40.45,0.5297,0.6519,0.4625,0.7615,0
Q3,frequency:modulation_depth,1.641,3.36,80.6,0.2727,0.064,0,0.162,0.1811
Q4,frequency,0.201,1.92,46.13,0.4957,0.0083,0,0.0885,0.8102
Q4,modulation_depth,11.255,1.65,39.71,0.4378,0.3192,0.0914,0.5085,3e-4
Q4,frequency:modulation_depth,0.987,3.69,88.67,0.3145,0.0395,0,0.1121,0.4146
cognitive_load,frequency,5.42,1.77,42.48,0.4523,0.1842,0.0128,0.3754,0.0102
cognitive_load,modulation_depth,47.626,1.43,34.23,0.5593,0.6649,0.4613,0.7779,0
cognitive_load,frequency:modulation_depth,0.906,3.13,75.07,0.2629,0.0364,0,0.1194,0.4457
