contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,DV,factor
X8.33 - X12.5,-0.3385,0.117,24,-0.6395,-0.0374,-2.8933,0.024,Q1,frequency
X8.33 - X25,-0.3799,0.1424,24,-0.7464,-0.0134,-2.6679,0.0269,Q1,frequency
X12.5 - X25,-0.0415,0.0954,24,-0.2869,0.204,-0.4348,0.6676,Q1,frequency
X40 - X60,-0.7726,0.0968,24,-1.0217,-0.5235,-7.9831,0,Q1,modulation_depth
X40 - X80,-1.6265,0.1681,24,-2.0591,-1.1939,-9.6759,0,Q1,modulation_depth
X60 - X80,-0.8539,0.1119,24,-1.1419,-0.5659,-7.6313,0,Q1,modulation_depth
X8.33 - X12.5,-0.289,0.1106,24,-0.5737,-0.0043,-2.6127,0.0305,Q2,frequency
X8.33 - X25,-0.2733,0.0976,24,-0.5243,-0.0222,-2.801,0.0297,Q2,frequency
X12.5 - X25,0.0158,0.0868,24,-0.2077,0.2392,0.1817,0.8574,Q2,frequency
X40 - X60,-0.4307,0.0684,24,-0.6067,-0.2548,-6.3003,0,Q2,modulation_depth
X40 - X80,-0.9833,0.1354,24,-1.3316,-0.6349,-7.2637,0,Q2,modulation_depth
X60 - X80,-0.5525,0.1062,24,-0.8258,-0.2793,-5.2038,0,Q2,modulation_depth
X8.33 - X12.5,-0.3494,0.1188,24,-0.6553,-0.0436,-2.9406,0.0214,Q3,frequency
X8.33 - X25,-0.2495,0.1409,24,-0.6121,0.113,-1.7712,0.1785,Q3,frequency
X12.5 - X25,0.0999,0.0866,24,-0.1229,0.3228,1.1539,0.2599,Q3,frequency
X40 - X60,-0.6022,0.0905,24,-0.8352,-0.3692,-6.6524,0,Q3,modulation_depth
X40 - X80,-1.0294,0.1298,24,-1.3635,-0.6954,-7.9317,0,Q3,modulation_depth
X60 - X80,-0.4272,0.1033,24,-0.6931,-0.1614,-4.1356,4e-4,Q3,modulation_depth
X8.33 - X12.5,0.0127,0.1224,24,-0.3022,0.3276,0.1037,1,Q4,frequency
X8.33 - X25,0.0672,0.1122,24,-0.2216,0.3561,0.5991,1,Q4,frequency
X12.5 - X25,0.0546,0.1027,24,-0.2098,0.3189,0.5312,1,Q4,frequency
X40 - X60,0.2776,0.0774,24,0.0784,0.4769,3.586,0.003,Q4,modulation_depth
X40 - X80,0.4633,0.1167,24,0.1629,0.7636,3.9694,0.0017,Q4,modulation_depth
X60 - X80,0.1856,0.0968,24,-0.0634,0.4346,1.9182,0.0671,Q4,modulation_depth
X8.33 - X12.5,-0.3192,0.1097,24,-0.6016,-0.0369,-2.91,0.023,cognitive_load,frequency
X8.33 - X25,-0.2614,0.1145,24,-0.5561,0.0333,-2.2827,0.0632,cognitive_load,frequency
X12.5 - X25,0.0578,0.0829,24,-0.1556,0.2713,0.6974,0.4922,cognitive_load,frequency
X40 - X60,-0.5165,0.0714,24,-0.7003,-0.3326,-7.2295,0,cognitive_load,modulation_depth
X40 - X80,-1.0063,0.1294,24,-1.3394,-0.6733,-7.777,0,cognitive_load,modulation_depth
X60 - X80,-0.4899,0.1003,24,-0.748,-0.2318,-4.8851,1e-4,cognitive_load,modulation_depth
