contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,DV,factor
X8.33 - X12.5,0.2939,0.9151,24,-2.0612,2.649,0.3212,1,dwell_ratio_cms,frequency
X8.33 - X25,-0.0686,0.7702,24,-2.0508,1.9136,-0.089,1,dwell_ratio_cms,frequency
X12.5 - X25,-0.3625,0.8835,24,-2.6362,1.9112,-0.4103,1,dwell_ratio_cms,frequency
X40 - X60,0.7569,0.7496,24,-1.1724,2.6862,1.0097,0.3227,dwell_ratio_cms,modulation_depth
X40 - X80,-1.5054,0.9181,24,-3.8682,0.8574,-1.6397,0.2282,dwell_ratio_cms,modulation_depth
X60 - X80,-2.2623,0.7314,24,-4.1445,-0.3801,-3.0933,0.0149,dwell_ratio_cms,modulation_depth
X8.33 - X12.5,39.5702,197.2096,24,-467.9764,547.1168,0.2007,1,dwell_time_cms_ms,frequency
X8.33 - X25,-65.944,163.2187,24,-486.0104,354.1224,-0.404,1,dwell_time_cms_ms,frequency
X12.5 - X25,-105.5142,207.5996,24,-639.8012,428.7727,-0.5083,1,dwell_time_cms_ms,frequency
X40 - X60,295.432,181.1745,24,-170.8461,761.7101,1.6306,0.232,dwell_time_cms_ms,modulation_depth
X40 - X80,-234.9684,205.372,24,-763.5222,293.5853,-1.1441,0.2639,dwell_time_cms_ms,modulation_depth
X60 - X80,-530.4004,171.556,24,-971.9239,-88.877,-3.0917,0.015,dwell_time_cms_ms,modulation_depth
X8.33 - X12.5,2.3096,11.9217,24,-28.3726,32.9919,0.1937,1,fixation_duration_cms_mean_ms,frequency
X8.33 - X25,-7.9941,18.6002,24,-55.8644,39.8761,-0.4298,1,fixation_duration_cms_mean_ms,frequency
X12.5 - X25,-10.3038,20.4252,24,-62.871,42.2634,-0.5045,1,fixation_duration_cms_mean_ms,frequency
X40 - X60,3.8358,10.6898,24,-23.6759,31.3474,0.3588,1,fixation_duration_cms_mean_ms,modulation_depth
X40 - X80,-2.4429,16.1141,24,-43.9149,39.029,-0.1516,1,fixation_duration_cms_mean_ms,modulation_depth
X60 - X80,-6.2787,12.3045,24,-37.9461,25.3887,-0.5103,1,fixation_duration_cms_mean_ms,modulation_depth
X8.33 - X12.5,8.3379,12.4016,24,-23.5793,40.2551,0.6723,1,fixation_duration_road_mean_ms,frequency
X8.33 - X25,0.6729,19.4077,24,-49.2755,50.6213,0.0347,1,fixation_duration_road_mean_ms,frequency
X12.5 - X25,-7.665,19.4927,24,-57.8322,42.5023,-0.3932,1,fixation_duration_road_mean_ms,frequency
X40 - X60,-9.0999,13.8883,24,-44.8433,26.6435,-0.6552,0.7011,fixation_duration_road_mean_ms,modulation_depth
X40 - X80,-20.3132,17.0499,24,-64.1935,23.567,-1.1914,0.7011,fixation_duration_road_mean_ms,modulation_depth
X60 - X80,-11.2134,9.1785,24,-34.8355,12.4088,-1.2217,0.7011,fixation_duration_road_mean_ms,modulation_depth
X8.33 - X12.5,-0.2,0.2238,24,-0.776,0.376,-0.8937,1,transition_count,frequency
X8.33 - X25,-0.1022,0.2731,24,-0.805,0.6005,-0.3744,1,transition_count,frequency
X12.5 - X25,0.0978,0.2752,24,-0.6105,0.806,0.3553,1,transition_count,frequency
X40 - X60,0.3689,0.285,24,-0.3646,1.1024,1.2944,0.6236,transition_count,modulation_depth
X40 - X80,0.4222,0.3592,24,-0.5022,1.3466,1.1755,0.6236,transition_count,modulation_depth
X60 - X80,0.0533,0.3159,24,-0.7597,0.8664,0.1688,0.8673,transition_count,modulation_depth
X8.33 - X12.5,0.1022,0.5495,24,-1.3119,1.5164,0.186,1,fixation_count_cms,frequency
X8.33 - X25,0,0.4336,24,-1.116,1.116,0,1,fixation_count_cms,frequency
X12.5 - X25,-0.1022,0.5479,24,-1.5124,1.308,-0.1866,1,fixation_count_cms,frequency
X40 - X60,0.6889,0.3575,24,-0.2311,1.6089,1.9272,0.1976,fixation_count_cms,modulation_depth
X40 - X80,-0.08,0.5155,24,-1.4066,1.2466,-0.1552,0.878,fixation_count_cms,modulation_depth
X60 - X80,-0.7689,0.4886,24,-2.0263,0.4886,-1.5737,0.2573,fixation_count_cms,modulation_depth
X8.33 - X12.5,-0.9911,0.6603,24,-2.6904,0.7082,-1.5011,0.2928,fixation_count_road,frequency
X8.33 - X25,-0.8133,0.458,24,-1.9921,0.3654,-1.7758,0.2654,fixation_count_road,frequency
X12.5 - X25,0.1778,0.6999,24,-1.6235,1.9791,0.254,0.8017,fixation_count_road,frequency
X40 - X60,0.5822,0.5929,24,-0.9438,2.1082,0.9819,0.3359,fixation_count_road,modulation_depth
X40 - X80,1.5867,0.588,24,0.0734,3.1,2.6984,0.0377,fixation_count_road,modulation_depth
X60 - X80,1.0044,0.6768,24,-0.73740000000000006,2.7463,1.4841,0.3016,fixation_count_road,modulation_depth
