DV,subset,Effect,F,num_df,den_df_GG,pes,pes_CI_low,pes_CI_high,p_GG
TTC_s,full_sample,frequency,3.6,2.23,53.62,0.1304,0,0.2928,0.0297
Q1,full_sample,frequency,54.07,1.54,36.89,0.6926,0.5099,0.7937,0
TTC_s,excl_P09,frequency,3.423,2.24,51.59,0.1295,0,0.2925,0.0352
Q1,excl_P09,frequency,50.575,1.54,35.31,0.6874,0.4969,0.7919,0
TTC_s,excl_P15,frequency,4.311,2.41,55.36,0.1579,0.0082,0.3185,0.0131
Q1,excl_P15,frequency,50.111,1.59,36.68,0.6854,0.4984,0.7889,0
TTC_s,excl_P09_P15,frequency,4.026,2.41,53.11,0.1547,0.0046,0.3179,0.0176
Q1,excl_P09_P15,frequency,46.557,1.59,35.03,0.6791,0.4835,0.7864,0
Q1,full_sample,frequency,54.07,1.54,36.89,0.6926,0.5099,0.7937,0
Q1,complete_ratings,frequency,54.07,1.54,36.89,0.6926,0.5099,0.7937,0
Q2,full_sample,frequency,28.659,1.65,39.51,0.5442,0.3191,0.6854,0
Q2,complete_ratings,frequency,28.659,1.65,39.51,0.5442,0.3191,0.6854,0
Q3,full_sample,frequency,24.195,1.83,44.01,0.502,0.2812,0.6472,0
Q3,complete_ratings,frequency,24.195,1.83,44.01,0.502,0.2812,0.6472,0
Q4,full_sample,frequency,5.722,1.51,36.28,0.1925,0.0191,0.4012,0.0119
Q4,complete_ratings,frequency,5.722,1.51,36.28,0.1925,0.0191,0.4012,0.0119
dwell_ratio_cms,full_sample,frequency,0.397,1.84,44.21,0.0163,0,0.1247,0.6581
dwell_ratio_cms,high_quality,frequency,0.684,1.81,43.4,0.0277,0,0.1575,0.4958
transition_count,full_sample,frequency,0.158,2.09,50.12,0.0066,0,0.0689,0.86240000000000006
transition_count,high_quality,frequency,0.201,1.96,47,0.0083,0,0.0862,0.8144
