condition,DV_label,n,mean_neg,sd,se,ci_lo,ci_hi
0 Hz (stable),Visual Discomfort,75,2.461,1.348,0.156,2.156,2.766
8.33 Hz / 40%,Visual Discomfort,75,3.62,1.403,0.162,3.302,3.938
8.33 Hz / 60%,Visual Discomfort,73,4.424,1.495,0.175,4.081,4.767
8.33 Hz / 80%,Visual Discomfort,75,5.157,1.512,0.175,4.815,5.499
12.5 Hz / 40%,Visual Discomfort,75,3.859,1.383,0.16,3.546,4.172
12.5 Hz / 60%,Visual Discomfort,75,4.719,1.528,0.176,4.373,5.065
12.5 Hz / 80%,Visual Discomfort,75,5.61,1.472,0.17,5.277,5.943
25 Hz / 40%,Visual Discomfort,75,4.014,1.448,0.167,3.686,4.342
25 Hz / 60%,Visual Discomfort,75,4.695,1.365,0.158,4.386,5.004
25 Hz / 80%,Visual Discomfort,75,5.604,1.367,0.158,5.295,5.913
0 Hz (stable),Mental Demand,75,3.029,1.214,0.14,2.754,3.304
8.33 Hz / 40%,Mental Demand,75,3.55,1.2,0.139,3.278,3.822
8.33 Hz / 60%,Mental Demand,73,3.97,1.344,0.157,3.662,4.278
8.33 Hz / 80%,Mental Demand,75,4.475,1.177,0.136,4.209,4.741
12.5 Hz / 40%,Mental Demand,75,3.75,1.236,0.143,3.47,4.03
12.5 Hz / 60%,Mental Demand,75,4.247,1.411,0.163,3.928,4.566
12.5 Hz / 80%,Mental Demand,75,4.873,1.527,0.176,4.527,5.219
25 Hz / 40%,Mental Demand,75,3.851,1.408,0.163,3.532,4.17
25 Hz / 60%,Mental Demand,75,4.219,1.203,0.139,3.947,4.491
25 Hz / 80%,Mental Demand,75,4.753,1.395,0.161,4.437,5.069
0 Hz (stable),Effort,75,3.013,1.293,0.149,2.72,3.306
8.33 Hz / 40%,Effort,75,3.451,1.321,0.153,3.152,3.75
8.33 Hz / 60%,Effort,73,4.017,1.328,0.155,3.712,4.322
8.33 Hz / 80%,Effort,75,4.261,1.351,0.156,3.955,4.567
12.5 Hz / 40%,Effort,75,3.649,1.199,0.138,3.378,3.92
12.5 Hz / 60%,Effort,75,4.239,1.409,0.163,3.92,4.558
12.5 Hz / 80%,Effort,75,4.889,1.466,0.169,4.557,5.221
25 Hz / 40%,Effort,75,3.596,1.379,0.159,3.284,3.908
25 Hz / 60%,Effort,75,4.247,1.176,0.136,3.981,4.513
25 Hz / 80%,Effort,75,4.634,1.368,0.158,4.324,4.944
0 Hz (stable),Decision Uncertainty,75,2.787,1.432,0.165,2.463,3.111
8.33 Hz / 40%,Decision Uncertainty,75,3.167,1.409,0.163,2.848,3.486
8.33 Hz / 60%,Decision Uncertainty,73,3.23,1.482,0.173,2.89,3.57
8.33 Hz / 80%,Decision Uncertainty,75,3.495,1.566,0.181,3.141,3.849
12.5 Hz / 40%,Decision Uncertainty,75,3.107,1.412,0.163,2.787,3.427
12.5 Hz / 60%,Decision Uncertainty,75,3.321,1.408,0.163,3.002,3.64
12.5 Hz / 80%,Decision Uncertainty,75,3.549,1.66,0.192,3.173,3.925
25 Hz / 40%,Decision Uncertainty,75,3.004,1.469,0.17,2.672,3.336
25 Hz / 60%,Decision Uncertainty,75,3.513,1.463,0.169,3.182,3.844
25 Hz / 80%,Decision Uncertainty,75,3.623,1.719,0.198,3.234,4.012
